,0
941,JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY
942,Archives of Disease in Childhood-Fetal and Neonatal Edition
943,PEDIATRICS
944,PEDIATRIC ALLERGY AND IMMUNOLOGY
945,RENEWABLE & SUSTAINABLE ENERGY REVIEWS
946,Nature Sustainability
947,GREEN CHEMISTRY
948,ChemSusChem
949,ACS Sustainable Chemistry & Engineering
950,INTERNATIONAL JOURNAL OF ENERGY RESEARCH
951,JOURNAL OF NUCLEAR MATERIALS
952,INTERNATIONAL JOURNAL OF RADIATION BIOLOGY
953,RADIATION PHYSICS AND CHEMISTRY
954,Nuclear Materials and Energy
955,CELL
956,NATURE MEDICINE
957,Annual Review of Biochemistry
958,MOLECULAR CELL
959,Molecular Cancer
960,NATURE REVIEWS MOLECULAR CELL BIOLOGY
961,CELL
962,NATURE MEDICINE
963,CANCER CELL
964,Cell Metabolism
965,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE
966,Virtual and Physical Prototyping
967,Additive Manufacturing
968,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING
969,IEEE-ASME TRANSACTIONS ON MECHATRONICS
970,Full Journal Title
971,ACTA MATERIALIA
972,Journal of Magnesium and Alloys
973,CORROSION SCIENCE
974,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY
975,BIOSENSORS & BIOELECTRONICS
976,TRAC-TRENDS IN ANALYTICAL CHEMISTRY
977,SENSORS AND ACTUATORS B-CHEMICAL
978,Trends in Environmental Analytical Chemistry
979,Annual Review of Analytical Chemistry
980,Physics of Life Reviews
981,NATURE STRUCTURAL & MOLECULAR BIOLOGY
982,Annual Review of Biophysics
983,BIOSENSORS & BIOELECTRONICS
984,CURRENT OPINION IN CHEMICAL BIOLOGY
985,SOCIAL STUDIES OF SCIENCE
986,SOCIAL STUDIES OF SCIENCE
987,SCIENCE AND ENGINEERING ETHICS
988,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE
989,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE
990,Nature Energy
991,Energy & Environmental Science
992,PROGRESS IN ENERGY AND COMBUSTION SCIENCE
993,Advanced Energy Materials
994,ACS Energy Letters
995,FORBES
996,JOURNAL OF FINANCE
997,JOURNAL OF FINANCIAL ECONOMICS
998,REVIEW OF FINANCIAL STUDIES
999,ACCOUNTING REVIEW
1000,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE
1001,Information Fusion
1002,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION
1003,MEDICAL IMAGE ANALYSIS
1004,IEEE Transactions on Cybernetics
1005,CHEMICAL REVIEWS
1006,CHEMICAL SOCIETY REVIEWS
1007,Energy & Environmental Science
1008,ADVANCED MATERIALS
1009,Nature Chemistry
1010,BIORESOURCE TECHNOLOGY
1011,INDUSTRIAL CROPS AND PRODUCTS
1012,BIOMASS & BIOENERGY
1013,Full Journal Title
1014,NATURE METHODS
1015,Nature Protocols
1016,BRIEFINGS IN BIOINFORMATICS
1017,CURRENT OPINION IN BIOTECHNOLOGY
1018,BMJ Quality & Safety
1019,Implementation Science
1020,ACADEMIC MEDICINE
1021,HEALTH AFFAIRS
1022,JOURNAL OF MEDICAL INTERNET RESEARCH
1023,JOURNAL OF ETHNIC AND MIGRATION STUDIES
1024,ETHNICITY & HEALTH
1025,Journal of Immigrant & Refugee Studies
1026,Cultural Diversity & Ethnic Minority Psychology
1027,Sociology of Race and Ethnicity
1028,PLoS Neglected Tropical Diseases
1029,Infectious Diseases of Poverty
1030,Parasites & Vectors
1031,MALARIA JOURNAL
1032,ACTA TROPICA
1033,Journal of Physiotherapy
1034,NEUROREHABILITATION AND NEURAL REPAIR
1035,JOURNAL OF ORTHOPAEDIC & SPORTS PHYSICAL THERAPY
1036,Annals of Physical and Rehabilitation Medicine
1037,Journal of NeuroEngineering and Rehabilitation
1038,CA-A CANCER JOURNAL FOR CLINICIANS
1039,Nature Reviews Clinical Oncology
1040,NATURE REVIEWS CANCER
1041,LANCET ONCOLOGY
1042,JOURNAL OF CLINICAL ONCOLOGY
1043,PROGRESS IN NUCLEAR MAGNETIC RESONANCE SPECTROSCOPY
1044,npj Quantum Information
1045,Journal of Physical Chemistry Letters
1046,JOURNAL OF MOLECULAR LIQUIDS
1047,Journal of Chemical Theory and Computation
1048,Annual Review of Animal Biosciences
1049,Animal Nutrition
1050,Journal of Animal Science and Biotechnology
1051,GENETICS SELECTION EVOLUTION
1052,JOURNAL OF DAIRY SCIENCE
1053,HARVARD LAW REVIEW
1054,YALE LAW JOURNAL
1055,European Journal of Psychology Applied to Legal Context
1056,UNIVERSITY OF PENNSYLVANIA LAW REVIEW
1057,COMMON MARKET LAW REVIEW
1058,Nature Climate Change
1059,BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY
1060,Earth System Science Data
1061,Earths Future
1062,Wiley Interdisciplinary Reviews-Climate Change
1063,IEEE Journal of Biomedical and Health Informatics
1064,JOURNAL OF MEDICAL INTERNET RESEARCH
1065,ARTIFICIAL INTELLIGENCE IN MEDICINE
1066,JMIR mHealth and uHealth
1067,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION
1068,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE
1069,IEEE Industrial Electronics Magazine
1070,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS
1071,IEEE WIRELESS COMMUNICATIONS
1072,IEEE SIGNAL PROCESSING MAGAZINE
1073,AMERICAN JOURNAL OF BIOETHICS
1074,JOURNAL OF BUSINESS ETHICS
1075,Journal of Responsible Innovation
1076,SCIENCE AND ENGINEERING ETHICS
1077,BUSINESS ETHICS QUARTERLY
1078,Brain Structure & Function
1079,Frontiers in Neuroanatomy
1080,DEVELOPMENTAL DYNAMICS
1081,ANNALS OF ANATOMY-ANATOMISCHER ANZEIGER
1082,MICROSCOPY RESEARCH AND TECHNIQUE
1083,REVIEWS OF MODERN PHYSICS
1084,PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS
1085,Nature Physics
1086,REPORTS ON PROGRESS IN PHYSICS
1087,Physical Review X
1088,Analytic Methods in Accident Research
1089,TRANSPORT REVIEWS
1090,TRANSPORTATION RESEARCH PART B-METHODOLOGICAL
1091,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW
1092,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT
1093,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING
1094,CEMENT AND CONCRETE RESEARCH
1095,CEMENT & CONCRETE COMPOSITES
1096,AUTOMATION IN CONSTRUCTION
1097,Sustainable Cities and Society
1098,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT
1099,MIS QUARTERLY
1100,Journal of Computer-Mediated Communication
1101,JOURNAL OF STRATEGIC INFORMATION SYSTEMS
1102,INFORMATION & MANAGEMENT
1103,COMPOSITES PART B-ENGINEERING
1104,COMPOSITES SCIENCE AND TECHNOLOGY
1105,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING
1106,CEMENT & CONCRETE COMPOSITES
1107,JOURNAL OF SANDWICH STRUCTURES & MATERIALS
1108,IEEE Geoscience and Remote Sensing Magazine
1109,REMOTE SENSING OF ENVIRONMENT
1110,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING
1111,IEEE TRANSACTIONS ON MEDICAL IMAGING
1112,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING
1113,THEORY CULTURE & SOCIETY
1114,Journal of Consumer Culture
1115,Memory Studies
1116,Cultural Trends
1117,SCIENCE AS CULTURE
